,adverb,cluster,sentence,entropy
22,academically,0,"Academically not the most accomplished, but I see you have become quite the star athlete.",6.765316129531129e-08
23,accidentally,0,"- I recorded a little bit. You know, I thought we could ""accidentally"" leak a song, get the fans excited for more.",9.00494434574739e-09
24,accordingly,0,"Accordingly, Rio Web Solution Corp.",7.594407325228758e-10
25,accordingly,1,"My talents are more valuable than yours, so i'm paid accordingly.",0.22347348928451538
26,accurately,0,"Look, I know people don't always present themselves Accurately in v-world,",1.7860160017590943e-09
27,accurately,2,"our defense was gonna be ""who could hit a ballaccurately enough to kill somebody?""",4.2919589759549126e-05
28,acoustically,0,"Acoustically speaking, this tower is the most strategic point in Florence.",6.515269319606887e-07
29,actively,0,"Sir, a case like this, proactively trying to prevent additional murders, requires more than two detectives.",1.9846855270344577e-09
30,adamantly,0,"So sweet of you to request it,adamantly... three separate e-mails.",5.809881287177632e-08
31,additionally,0,"Additionally, be aware that your ring is made of pure silver.",1.3182103186792915e-09
32,adequately,0,"Your honor, I'd like a recess until tomorrow so that I might Adequately prepare to meet Mr. Bedford's challenge.",1.49716200326111e-07
33,administratively,0,But administratively... you need to be careful because of the racial thing.,2.118466854095459
34,admittedly,0,"Admittedly, not the most romantic birthday gift, but he's a happy putterer.",8.709039600596213e-10
35,adoringly,0,Mary looks over and gazes adoringly at Paddie.,1.7256407737731934
36,adroitly,0,"Well, you see, Tony's been ducking things adroitly for years.",0.005979827605187893
37,adversely,0,"LIKE, FOR INSTANCE, TENSION AND DISCORD AFFECT THEM ADVERSELY,",2.62088974523067e-07
38,advisedly,0,"Like its relatives, it has a tiny mouth with which it picks up small shrimps that ill-advisedly take shelter in what appears to be floating weed.",4.8395477847407165e-08
39,affectionately,0,"Question mark. Affectionately, Papa. Have you got that?",5.180688766870389e-09
40,affirmatively,0,I do. But a pardon must be affirmatively accepted by the guilty party to be recognized by the courts.,0.0021212741266936064
41,aggressively,0,Do you think we're so frustrated with our fertility shit and our bourgeois life choices that we're passive-aggressively sabotaging our own life?,3.5642454321305195e-08
42,aggressively,1,"""Aggressively manage with needle decompression to chest.""",2.4987011215671373e-07
43,aggressively,2,"I mean, people in LA, they drive very aggressively.",0.697688102722168
44,aggressively,3,"But see, I'm having this aggressively bad day.",1.2712457180023193
45,aggressively,6,He's bid very aggressively for plates in several auctions.,0.21006718277931213
46,agonizingly,0,The night seemed agonizingly long after that first quarrel.,0.00583740696310997
47,aimlessly,0,"Aimlessly it sailed across the seas, in search of innocent children's souls, to sacrifice them to the fire giants.",1.0103325820409736e-07
48,alarmingly,0,"Eyewitness reports are sketchy. One unifying detail seems to be that the attackers in many instances, appear to be... dead excited to have with us here, a sensational chart-topping... or ideological connection between those committing the atrocities, and perhaps, more alarmingly...",8.363754133711154e-09
49,allegedly,0,"the main compound used in gasoline additives, like the one Irene allegedly swallowed.",0.0002082876890199259
50,allegedly,1,"Allegedly, people are innocent until proven guilty.",6.485420200874614e-09
51,allegorically,0,"As such, I often speak allegorically or in parables.",0.08458197116851807
52,alphabetically,0,"No. I went through the New York hotel guide. Alphabetically, in reverse.",1.129056954596308e-07
53,alternately,0,"Alternately, when you should be defending, you are attacking and giving away points.",1.2238088764604527e-08
54,alternately,1,"Alternately, you can choose a gender now, raise the baby, and then when he or she matures, you reevaluate.",8.693323394481922e-09
55,alternatively,0,"Alternatively, you could step away from that box, you can walk right out of that door and you could stand your revolution down.",3.559632588689965e-09
56,amateurishly,0,"Amateurishly built, held together with masking tape.",2.7416663783697004e-07
57,amazingly,0,"In those two sites, the stone work developed amazingly and Sacsayhuaman, as well as Vinapu, contain some of the greatest examples.",1.8562469482421875
58,amazingly,1,"Amazingly, she doesn't have any spinal damage, but... her head got knocked around pretty good.",3.431450013025028e-09
59,ambiguously,0,"Cowboy, ""ambiguously gay muppet characters"" : 12 letters.",2.9364923648245167e-07
60,amorously,0,In a moment like this. people should die glamorously.,0.0015505654737353325
61,amply,0,If I could mend it for the fearless boy I'd be amply rewarded for all this humiliation.,1.1945463418960571
62,amply,2,"- Plain enough? - Amply, sir.",2.3769214152480345e-08
63,analytically,0,"And what about the soldiers? Analytically, I understand that many lives outweigh the one.",3.800849128765549e-07
64,anatomically,0,"Anatomically, all orgasms are centered in the clitoris, whether they result from direct manual pressure applied to the clitoris, indirect pressure resulting from...",3.525059355524718e-08
65,angrily,0,"[Uncertain Chuckles] Came home to my apartment last week, found my dog looking sheepish. [Shouts Angrily] Dogs can look sheepish!",4.6373642703656515e-09
66,annoyingly,0,"Annoyingly affectionate, constant hugs, kisses.",5.29412558236686e-09
67,annually,0,"Annually, you spend $10, 000 on paper products.",3.9107998617282647e-08
68,anonymously,0,"""Modern girl wishes to correspond on cultural subjects... ""...anonymously with intelligent, sympathetic, young man.",1.2756653688938968e-07
69,anteriorly,0,"If I decompress the cord anteriorly,",2.776526927947998
70,anteriorly,1,Third-year Surgical Resident Leung placed the chest tube anteriorly.,1.8357003927230835
71,anxiously,0,"Anxiously awaiting his sister, to share her grief.",1.3606411641831073e-07
72,apologetically,0,"But this is America, where we unapologetically bastardize other countries' cultures in a gross quest for moral and military supremacy.",4.0903765352595656e-07
73,appallingly,0,"No offence, but you dress appallingly.",0.0011292017297819257
74,appallingly,2,"""It's become appallingly clear... that our technology has surpassed our humanity.""",0.0005115545936860144
75,apparently,0,"Apparently, there's been a murder.",1.4588517061042694e-09
76,apparently,2,Apparently getting set up by my new partner. Partner?,4.962800630892161e-06
77,appreciatively,0,"The old master listened appreciatively and at the end he said,",0.0011835782788693905
78,appropriately,0,- Appropriately interpreted. And disguised.,4.045965624754899e-07
79,appropriately,1,"Appropriately dubbed by the Allies as ""Operation Gomorrah,"" the raids had been a cold and calculated attempt to scorch Hamburg and its people, from the face of the earth.",6.751173398100718e-09
80,appropriately,2,Anyone firing on one of our ships will be considered committing an act of war and we will respond appropriately.,0.5786077380180359
81,appropriately,4,I knew this one was coming and I dressed... Appropriately for the occasion.,2.873027824534802e-07
82,approximately,0,Approximately how many lives do you think she has time to destroy in one day?,5.157860272220205e-08
83,aptly,0,"An auction, is not unaptly called then...",2.4699411405038063e-09
84,arbitrarily,0,"- In the time when I was in prison, Since they deprived me arbitrarily custody of my children.",0.528988242149353
85,arbitrarily,1,A city in which thousands of buildings rise into the sky. Arbitrarily.,9.400393992109457e-07
86,architecturally,0,"Architecturally speaking,I get that, but this-this... this is big.",2.861021494027227e-05
87,ardently,0,"No, no: ""ardently.."" No, ""I aspire...""",2.3683973267907277e-05
88,arduously,0,I worked arduously to prepare the blood to have the necessary consistency.,0.5189340114593506
89,arrogantly,0,"Arrogantly thinking that perhaps I'd given enough... over these past nine years to merit, if not your love, then at least your respect.",4.1542630668800484e-08
90,artificially,0,"Artificially inseminated With rafael's sample. Oh, and the doctor who inseminated her?",6.697341632388998e-07
91,artificially,1,"I'd wanna let the movie exist, rather than be... -...artificially plot-driven.",6.366013849401497e-08
92,artificially,4,Now you have an artificially intelligent drone army looking for pay back.,0.9894105792045593
93,artificially,6,Many companies use a form of ethanol to artificially ripen their crops.,2.7706868648529053
94,artistically,0,I feel a complete failure artistically.,1.3146955966949463
95,assertively,0,Now Sharp stepping forward a little more assertively behind that jab.,0.0052440655417740345
96,assiduously,0,Stop defending your honor so assiduously and listen to me for a minute.,0.014576656743884087
97,astonishingly,0,"Astonishingly, your app... received ten times more downloads than any other team's.",3.0096124703504756e-08
98,astronomically,0,"In the past 10 years, the pace of communication and commerce accelerated astronomically, didn't it?",1.9208067655563354
99,astutely,0,"And as you so astutely pointed out, he left the marks to prove it.",0.9654055237770081
100,asymptotically,0,"As the power grew, I applied the energy asymptotically.",0.06540094316005707
101,atrociously,0,- I've never been treated so atrociously. - Shut up.,0.00422241585329175
102,attentively,0,"Doctor, I listened attentively to your presentation.",0.0007203257409855723
103,audibly,0,"-I don't breathe audibly, but I breathe.",0.42816296219825745
104,authentically,0,You've missed the point of the poem... because you've used an edition of the text... that is inauthentically punctuated.,2.9514962989196647e-06
105,automatically,0,OUR SLEEPING PLATFORMS ADJUST AUTOMATICALLY TO OUR BODY TEMPERATURE.,6.103636565057968e-07
106,automatically,1,"SO A LARGE PART OF THE ELITES, USED TO RUNNING THE SHOW, AUTOMATICALLY THEN BECOME ALSO THE LOCAL BISHOPS, ETC.",1.7516319061883223e-08
107,awkwardly,0,"I'm the weakest dancer because I spent 20 years, prior to my transition, being trapped inside my own body, so now I'm adjusting to my new body, and I move very awkwardly.",0.00028810309595428407
108,awkwardly,1,"Oh... (Awkwardly) Yeah, the phone.",1.6045561324062874e-06
109,awkwardly,3,"Now I know this puts you in an awkwardly powerful position, but I have to know, right now, in front of everyone. Do you love me too?",0.0004863865615334362
110,awkwardly,4,Which leaves me somewhat awkwardly dancing with two partners.,0.0004222019633743912
111,badly,0,"Listen, I've seen quite a few people do this, all right? Badly.",0.0004272997903171927
112,badly,1,A trucker just called in a reckless driver in a black SUV heading south on 232 and swerving pretty badly.,1.1600958108901978
113,badly,2,"Badly, and they wanted to incentivize you to join the program.",5.8116911532124504e-06
114,badly,3,"Well, it all started when I went to tell Jake how badly he hurt my feelings, and he yelled at my breasts.",0.2184753566980362
115,badly,4,All they want is to take something from you. Badly enough to kill you.,6.384693551808596e-05
116,badly,6,"Forgive me, but Pindar has always been so badly translated...",1.1459901332855225
117,badly,8,"Is it very bright in here, or am I badly lit?",0.779686689376831
118,barbarously,0,"We, too, must repent, purify ourselves, make reparation - give Christian burial to these two unknown young men barbarously slaughtered, done away with, God knows, without the comfort of the sacraments -",1.9754525423049927
119,barely,0,- Barely out of his teens.,3.93978609736223e-07
120,basely,0,"I must abandon what I love, murder the son I treasure, basely betray one who trusts me!",3.200587272644043
121,basically,0,"- Basically, you're your own boss.",5.0424420194872255e-09
122,beastly,0,"Just come down? - Yes. Beastly place, your part of the country, I think.",6.799038487770304e-08
123,beastly,1,All you can do is shoot and kill and prey on women... with your beastly senses slobbering at the sight of anything fine.,0.007239945698529482
124,beastly,2,Beastly impudent bad manners - that what it tis! I have a message to deliver from Mrs. Errol.,6.041953781732445e-08
125,belatedly,0,"Dear Anička, forgive me for writing to you so belatedly.",0.20422500371932983
126,benignly,0,"Why that example? Perhaps Gill felt that such a state, run benignly, could accomplish its efficiency without sadism.",3.5272746086120605
127,bitterly,0,- Did you call the police? - [Chuckles Bitterly],1.9095919867595512e-07
128,bitterly,2,"But once the sun sets, every night becomes as bitterly cold as winter.",0.5854250192642212
129,blankly,0,"When she stopped talking, he stared at her blankly, not knowing what to say.",1.1210520267486572
130,blatantly,0,"Blatantly stealing from the Princess, stealing from the Kuroqi Royal Family.",3.073408549880696e-08
131,blessedly,0,"God rot it, and, blessedly, keep it,",1.3316352367401123
132,blindly,0,Blindly following her tattoos is reckless.,2.31292993646548e-08
133,blindly,2,Stare blindly at the letters.,1.4007059335708618
134,blindly,6,"Blindly, groping in the dark.",1.6345018593710847e-05
135,blithely,0,"Mrs. Blithely, keep your opinion to yourself!",1.0645239001405571e-07
136,bloodily,0,O proud death what feast is toward in thine eternal cell that thou so many princes at a shot so bloodily hast struck?,0.4767933487892151
137,bloodlessly,0,He'd like to see this resolved bloodlessly.,0.34384989738464355
138,bluntly,1,"Bluntly put, you all have a sickness that makes your head blow up when you get upset.",3.778983455049456e-07
139,bodily,0,"Possession, Trafficking... Weapons, Assault Bodily Harm, Attempt Murder.",1.7470618285386763e-09
140,bodily,2,"Do not refuse, or you will be bodily removed.",0.22013065218925476
141,boldly,0,"¶ ""SPEAK BOLDLY,"" CRIED HIS FATHER ¶",1.0829686480917644e-08
142,boldly,1,The fearless man in blue tights with a red cape and an S stretched boldly across his chest.,0.0028248673770576715
143,boldly,4,You are a lone reed standing tall waving boldly in the corrupt sands of commerce.,0.0023179654963314533
144,boringly,0,"- Timid, bookish, boringly rational?",0.44376182556152344
145,boyishly,0,"""Robredo's chief speech writer, is both intense and boyishly handsome.""",0.46557745337486267
146,bravely,0,"After the triumphant victory over the evil hippies of Burning Man, Coon and Friends turn their attention to the next villainous scourge. Bravely taking out every Whole Foods left in the country.",8.211301860683307e-08
147,bravely,1,"Knowing what dangers lurk, he bravely soldiers up the creaky old staircase.",0.03109552524983883
148,bravely,2,"Bravely let us dim his finest splendours,",1.6850364772835746e-05
149,brazenly,0,"You and Bernie Brazenly decided to stay put right here in Santa Barbara, solve Professor Stein's murder, take all the credit, and frame an innocent man for the crimes you committed.",1.4678771975695781e-08
150,brazenly,1,"I was the one who... who... forgetting all decency, offered myself brazenly to him.",0.00862104818224907
151,brazenly,3,They're more apt to subvert and harass than brazenly attack and harm.,0.008506741374731064
152,breathlessly,0,"Abby: (Breathlessly) Keep going, I'm listening...",1.716405790830322e-07
153,briefly,0,"Briefly, and for the moment, our plans will be as follows, we'll return to Tahiti and deposit our prisoners, we'll pick up all the water and stores we can carry, and all the extra hands we can find.",6.120667528364265e-09
154,brilliantly,0,If I reached for anything that shone brilliantly it was the vision of a home denied me and a sense of peace I have never known.,1.1573827266693115
155,brilliantly,2,"Brilliantly hued in blues, greens, violets, reds and browns.",9.65405888564419e-08
156,brilliantly,3,"BEFORE ANNOUNCING THE WINNER OF THIS YEAR'S COMPETITION, I'D LIKE TO COMPLIMENT ALL OF OUR BRILLIANTLY TALENTED YOUNG FINALISTS.",1.446377506653107e-08
157,briskly,0,I walked to the stables as briskly as ever and arrived much later than I expected to.,0.0013699446571990848
158,broadly,0,"WELL, BROADLY, IN NONMEDICAL TERMS,",2.3504368229509964e-08
159,brotherly,0,"AND BROTHERLY LOVE. GET OUT OF THE ROAD, CLOWN!",6.113008765851191e-09
160,brutally,0,"Brutally satisfying, I have to say.",0.0025344216264784336
161,brutally,1,RADIO: (Indistinct chatter) ... hold the city and its reservoirs tonight under ceaseless Japanese shelling and bombing brutally pushing back attacks from two directions.,2.382978677749634
162,brutally,2,"IN 1995, I WAS BRUTALLY RAPED BY A STRANGER WHO WALKED INTO MY HOME.",1.013331418775465e-09
163,brutally,3,His men will brutally ravish you and every woman in the castle.,1.8989744186401367
164,bureaucratically,0,"Well, running a trauma center is perhaps the ultimate training ground for public healthcare, and we are in a healthcare crisis. This position allows me the opportunity to apply practical solutions to problems that have been dealt with all too bureaucratically in the past.",0.09225444495677948
165,busily,0,- Busily interning. They're very busy.,1.7730293899731464e-09
166,callously,0,They callously mocked his dancing.,1.166028380393982
167,callously,1,"Mr. Hawley will find and retrieve your sacred mask that he so callously traded, if you assist us in finding a Wendigo cure.",1.4547021389007568
168,calmly,0,The sea has flowed calmly for 760 years after the pitiful end of the Heike family,1.9387502670288086
169,calmly,1,"I theoughet we could talk once again. Calmly, like civilized people.",9.041912818474884e-08
170,capriciously,0,We're not capriciously arresting anyone.,0.6319124102592468
171,carelessly,0,"""carelessly put down on paper, like a billionaire's gold...""",7.662026746402262e-07
172,carnally,0,"His company has changed from an all-male culture, and now... and undermining the spirit of sport! P.S. The team in question is ranked last in the pool. Beroni Edmondo, single, 26... brother of the aforementioned Edmondo who is linked carnally with his sister,",3.137441595413293e-08
173,casually,0,"Please, not now. I looked up the best time to show up for a party and right now we're in the ""casually cool"" window, but if we wait too much longer, we'll be ""party tardy,"" and I'll risk dissing my host.",8.638794568582853e-09
174,casually,2,"I was beaten casually every three days, and beaten hard every five days",2.1474175453186035
175,casually,4,I've done my research and I know that people dress casually.,1.923204779624939
176,catastrophically,0,"- Names haven't yet been released, dropped 26 stories to their deaths when the building's elevator system failed catastrophically.",0.001918271416798234
177,categorically,0,"-Yes, I want a letter signed by you... apologizing for underestimating me and stating uncategorically... that I'm the better grifter. You lot can witness it. Eddie, paper on the bar, squire.",3.817514766524255e-07
178,causally,0,- but they are not causally related.,1.521990418434143
179,cautiously,0,"""Cautiously optimistic"" is the report.",6.438192912128216e-08
180,cautiously,1,"Cautiously, I stepped forward... my eyes straining from their sockets... in hope of catching some faint ray of light.",3.606037424219721e-08
181,cavalierly,0,"""He cavalierly admitted to Fox's Megyn Kelly that he beat his late wife once a month over 10 years, or about 120 times.",0.004656721372157335
182,ceaselessly,0,Ceaselessly we must recite... The same old words,1.0796073866004008e-06
183,centrally,0,But all the robots here are controlled centrally and are specialised.,1.4641814231872559
184,centrally,1,"It ain't what you call ""centrally located,"" is it?",5.038607469032286e-07
185,ceremonially,0,"It was here, in 12464, that the dying Harteaster came to be ceremonially drowned and Agateer crowned himself the Third Leader of the First Dispersal and opened hostilities with the Mariotts of the White Sheet Hills.",1.0722150802612305
186,ceremoniously,0,Ceremoniously disbarred not two years ago.,0.00081698625581339
187,certainly,0,"Certainly slavery was a cause for the Civil War, but not the primary cause.",6.04447603080871e-09
188,chaotically,0,"He doesn't fly, but flutters chaotically.",0.6910706758499146
189,characteristically,0,The Aesthete Gives Characteristically Cynical Evidence... Replete with Pointed Epigram and Startling Paradox... while Explaining His Views on Morality in Art.,2.505466454749694e-06
190,charmingly,0,There your work would be regarded as poetic. Charmingly poetic.,1.0987676546392322e-08
191,cheaply,0,Do you realize how cheaply one can buy it?,0.22531293332576752
192,cheaply,1,Good heavens! Don't hold yourself so cheaply.,0.9361518621444702
193,cheaply,2,"Are you sure you can let it go that cheaply, Mr. McDougall?",2.013371467590332
194,chemically,0,"Chemically, their lack of hormonal change makes detection impossible.",3.904436773893849e-09
195,chemically,1,"'Chemically, of course, I have no way of analysing them.",5.777683895757946e-07
196,chemically,2,"We were fortunate to kind of stumble across this healthy program as a result of some contact with natural oven and bakery of Manitowoc Wisconsin and they believe in low-fat, low-sugar non-chemically processed foods that are free of dyes and preservatives full of whole grains a lot of fresh fruits and vegetables.",7.869712703723053e-08
197,chemically,5,"And for the first time, there was a new school of thought that was chemically induced that made people question the very society they lived in.",3.4900293350219727
198,chiefly,0,"Chiefly? What, are you nervous?",1.484216056724108e-07
199,childishly,0,"- So you're in online marketing, too? - (MIMICS CHILDISHLY)",2.3135445559319123e-08
200,chronically,0,Do not listen to Mr. Chronically-single- always-dating-some-new- hot-chick guy!,5.7878279946521616e-09
201,circumstantially,0,"Circumstantially, it looks like the Secret Services paid him off for doing work for them.",5.98104804794275e-07
202,civilly,0,They're still weighing whether to proceed against you civilly.,1.6970791816711426
203,civilly,1,"Why don't we all just sit down, have some coffee and talk about this civilly ?",2.5594968795776367
204,classically,0,"I don't know if I'd call him ""classically handsome.""",8.066654544336416e-08
205,classically,2,"- Harry... - Classically trained in the martial arts, baby. Harry...",1.295946105983603e-08
206,cleanly,0,"Wow, it must be nice to see the world so cleanly.",1.2767114639282227
207,cleanly,1,"Cleanly, without a trace. Hey punk,",5.4559635032092046e-08
208,cleanly,3,But if that's not to be... ..they pray for a bullet that kills them cleanly.,2.426281452178955
209,cleanly,4,It's coming off quite cleanly.,1.400331735610962
210,cleanly,8,"This beautiful fish will ', live in' with you and teach you 'to live cleanly. """,4.181983947753906
211,cleanly,9,"""While the Harvey system neither demands nor expects... ""... the impossible from any employee, it does insist upon honest... ""... excellent, hygienic, cleanly, prompt and cheerful service at all times. """,0.1542065441608429
212,cleanly,10,Hanzawa and the bank was cleanly cheated out of the 500-million yen loan.,3.311007022857666
213,cleverly,0,"Cleverly, he deactivates the weapons system, and the crowd goes wild.",3.5797420139260794e-08
214,cleverly,1,"She has cleverly hidden her Yoki, but if you synchronize with her waves, even you should be able to discover her.",0.002165155718103051
215,cleverly,2,"Okay, Chestnut, it's time to play that game where we take shots while we pay our bills that Max so cleverly named, ""that game where we take shots while we pay our bills.""",0.0013746044132858515
216,clinically,0,"Clinically speaking, he looks like a psycho.",5.0878736779225164e-09
217,clinically,1,I will not change my behavior to accommodate the rantings of a madwoman. Clinically licensed or not.,3.6620167520595714e-06
218,clinically,3,"Clinically depressed, no girlfriend, weight issues, mucho health problems.",1.0123442084619683e-09
219,closely,0,"Butifyoustudy thetrickveryclosely, you'll see there's one other person who entered that room,",1.8822396441464662e-07
220,closely,1,The kids in my district will live longer if their fortunes are tied more closely to the fortunes of the kids in Josh Lyman's district.,0.15126094222068787
221,closely,2,I'm the sales manager of Montanaro and Co. And I work very closely with Giulio Montanaro.,0.003948130179196596
222,closely,3,Be sure to press it in and pull it closely enough to you so you can be heard.,0.0964876264333725
223,cloyingly,0,That is the most cloyingly sentimental remark I have every heard. I have every heard.,0.7701914310455322
224,clumsily,0,"Clumsily, with more mess than necessary.",6.53332972433418e-06
225,clumsily,1,"You'd have bought me a drink, we would have stood facing each other, clumsily exchanging a few words,",0.1666509360074997
226,coarsely,0,I wouldn't put it that coarsely.,0.43548572063446045
227,cognitively,0,Looks like the boy sensed the shooter precognitively,1.1713858611983596e-06
228,coherently,0,Patients can't move or even think coherently without proper treatment.,1.9937405586242676
229,coincidently,0,"Coincidently, all the gold ones, right, chap?",1.4108306345406163e-07
230,cold-bloodedly,0,"Flashing your iron compasses, Cold-bloodedly you close the circle, Paying no attention to useless pleas.",6.643734877798124e-07
231,coldly,0,I coldly explained my plan:,0.9590322375297546
232,coldly,1,"Thrift, thrift, Horatio! The funeral baked meats did coldly furnish forth the marriage tables.",3.709023952484131
233,coldly,2,"A blind-old male, coldly shot in the Timor Sea.",0.7081743478775024
234,coldly,6,"For the wagons that bring bread to humanity, may coldly exclude a considerable part of humanity from enjoying what is brought.""",4.19305419921875
235,collectively,0,"Collectively, it's even easier to beat your father.",1.8579417826458666e-07
236,colloquially,0,"Colloquially it is known as the ""patience grenade.""",1.6248080214609217e-07
237,comically,0,- Comically? We're batting a thousand.,0.00012501786113716662
238,commercially,0,"""LIMITE"" WAS NEVER RELEASED COMMERCIALLY.",1.0475376654994761e-07
239,commercially,1,"You fly commercially into Rafic-Hariri tomorrow afternoon, you grab a cab downtown, and you check into the Commodore.",1.6356160640716553
240,communally,0,We are all equal and we take our decisions communally.,1.0322554111480713
241,comparatively,0,"Comparatively, my own marriage was a much more pragmatic and routine one.",1.0944564143855473e-09
242,competently,0,- So a candidate for the vice-presidency with alcoholism and heart disease was working at the White House when a breach of national security occurred and is going to be dropped at the Hart Building with his lawyer to testify before a Republican congressional committee investigating a Democratic administration's failure to competently protect the presidency.,1.944922132679494e-06
243,competitively,0,"Competitively, I meant, we've lost him.",0.0005099703557789326
244,competitively,1,"With our competitively priced onsite cosmetic surgery, we can turn that Frankenstein you see in the mirror every morning into a Franken-fine.",0.46674925088882446
245,completely,0,"IMAGINE YOUR ENTIRE AUDIENCE IS COMPLETELY NAKED. BOGGLES THE MIND, DOESN'T IT?",1.7204220625899325e-07
246,comprehensively,0,"Considering how comprehensively you ripped my father off,",1.7398790121078491
247,compulsively,0,"So, this time, I need you to not be your normal, Compulsively blabby self.",2.630061857189503e-08
248,compulsorily,0,"The fact is, my android officer, Data, is being transferred compulsorily to be part of a dangerous, ill-conceived experiment. I want it stopped.",0.0015187282115221024
249,conceptually,0,"Conceptually, it's enclosing, it's familial, it's feminine.",5.635425903705027e-09
250,concisely,0,You willing to read a book that concisely explains how all psychics are frauds?,0.012459715828299522
251,conclusively,0,"Thecraniumwasmuchlarger than I expected , andtheeyesocketswere small, indicating a limited field of vision, itconclusivelyprovedthat, as a species, we evolved,",1.025928142439625e-08
252,concretely,0,"Concretely, how do you plan to proceed?",2.957539777526108e-07
253,condescendingly,0,Mansplaining is when a man will condescendingly explain something to a woman that she already knows.,0.00039680878398939967
254,conditionally,0,"After 10 years in prison, I would be once released conditionally.",1.5313355922698975
255,confidentially,0,"Confidentially, darling, this is more than a hangover.",1.711419983507767e-08
256,confidently,0,"(Confidently) Pardon me for mentioning it, ladies, but the house is on fire.",3.291816952355475e-08
257,confoundedly,0,"You're a confoundedly attractive woman, or hadn't you noticed?",0.4039841592311859
258,confusedly,0,"Once again on the observation deck at Orly... on this warm Sunday before the war where he could now stay, he thought confusedly how the child he'd been must be there too, watching the planes.",0.45726069808006287
259,conscientiously,0,I swear I will perform my duties according to the statutes and the Constitution of the Federal Republic of Germany and the Constitution of the Federal Republic of Germany in agreement with the laws for the public's well-being... in agreement with the laws and the public's well-being and fulfill my responsibilities conscientiously.,5.806732588098384e-07
260,consciously,0,"Preconsciously, she knew this wasn't her strength as an investigator.",7.93275933830273e-09
261,consecutively,0,"In the light of your hologrammatic status, these sentences are to be served consecutively, making a total sentence of 9,328 years,",0.08372566103935242
262,consequently,0,"Consequently, this contains the first page... of every holy book of every race that has joined the New Alliance.",4.426823796421786e-09
263,conservatively,0,I'm suggesting that we treat her conservatively.,0.9162593483924866
264,conservatively,1,It's your first year as associate professor. Play things more... -...conservatively.,1.7023178600084066e-07
265,conservatively,2,Conservatively dressed human beings! I'd like to introduce The Great Turkey!,4.286372927708726e-07
266,conservatively,4,"Conservatively, let's say 10 million deaths in a year.",4.768756411976938e-08
267,considerately,0,"Well, I didn't want to disturb you, and Hogan very considerately asked me out.",0.07804268598556519
268,consistently,0,"""THIS DEVASTATINGLY HANDSOME VIOLINIST DAZZLED THE JUDGES AT THE SEMI-FINALS AND CONSISTENTLY TAKES JUSTIN TAYLOR'S BREATH AWAY.""",5.837762984128858e-08
269,conspicuously,0,"He said the house was, ""conspicuously meticulous.""",9.414192092549456e-09
270,conspicuously,2,JUST GO ABOUT YOUR BUSINESS AS CONSPICUOUSLY AS POSSIBLE.,0.0005581852747127414
271,constantly,0,"Which I do, -constantly- in my living room, with the shades closed just in case somebody is watching.",1.914211509301822e-07
272,constitutionally,0,"Constitutionally, gentlemen, you have The President,",3.00964018151717e-08
273,constructively,0,I'm a dead man. I should be using these last hours constructively-- drinking at the bar and juggling blonde triplets.,0.2764713764190674
