adverb,cluster,sentence,jooyoung,Column 1,jader,Column 1,match?,Column 2
foolishly,1,"since the route was dangerous and we didn't want to die <t>foolishly</t>, we left the red car and took the blue train.",manner,,manner,,,Answer: adverb.manner
foolishly,2,"she did not wish us to sacrifice the life of another jaffa to save her own, even one who still <t>foolishly</t> worshipped the false gods.",subject-oriented,,,?,*,Answer: adverb.manner
generously,0,to give <t>generously</t> to the abbey.,manner,,manner,,,"Okay, let's tackle this. The adverb is ""generously"" in the sentence ""to give generously to the abbey."" First, I need to figure out which category it fits into. Let's go through the options."
generously,1,a house in bel air with a <t>generously</t> sized swimming pool.,degree,,speaker-oriented,,*,"Okay, let's tackle this. The adverb here is ""generously,"" and the sentence is about a house in Bel Air with a ""generously sized swimming pool."" So, I need to figure out which category this falls into."
generously,2,i am making chicken breasts... ooh. <t>generously</t> seasoned with paprika.,degree,,manner,,,Answer: adverb.manner
graciously,0,thank you for so <t>graciously</t> accepting.,subject-oriented,,,,*,"Okay, let's tackle this. The adverb in question is ""graciously,"" and the sentence is ""thank you for so graciously accepting."""
graciously,1,"member of the british empire, <t>graciously</t> bestowed upon myself for services to the tilling hospital.",subject-oriented,,,,*,Answer: adverb.manner
graciously,2,"running <t>graciously</t>, they filled the woods with laughter... they carried baskets of fruit to where the tablecloth had been.",manner,,manner,,,Answer: adverb.manner
greedily,0,<t>greedily</t> i retained his gold,subject-oriented,,subject-oriented,,,"Okay, let's tackle this. The adverb in question is ""greedily,"" and the sentence is ""greedily i retained his gold."" First, I need to determine which category this adverb falls into."
greedily,1,"it was a terrible vision, my son living the saint's life, <t>greedily</t> acquiring women.",manner,,manner,,,Answer: adverb.manner
greedily,2,"her pussy was a neat, discreet little cleft... but as soon as the animal within... was roused by my caresses, it would stir... draw aside the silken curtain covering its lair... and become a carnivorous flower... a baby's mouth... <t>greedily</t> sucking my finger.",manner,,manner,,,Answer: adverb.manner
grudgingly,0,"i would rather, albeit <t>grudgingly</t>, have renounced that happiness than betrayed my convictions and duty.",manner,,speaker-oriented,?,*,"Okay, let's tackle this. The adverb in question is ""grudgingly,"" and the sentence is: ""I would rather, albeit grudgingly, have renounced that happiness than betrayed my convictions and duty."""
grudgingly,1,"to those of us who be<t>grudgingly</t> call allan a friend, it seems impossible that any woman could handle him for an hour, let alone a lifetime.",manner,,speaker-oriented,?,*,Answer: adverb.subject_oriented
grudgingly,2,he said he died <t>grudgingly</t>.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""grudgingly,"" and the sentence is: ""to those of us who grudgingly call allan a friend, it seems impossible that any woman could handle him for an hour, let alone a lifetime."""
honestly,0,i've lived my life as <t>honestly</t> as i can.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""grudgingly,"" and the sentence is ""he said he died grudgingly."" First, I need to figure out which category this falls into. Let me recall the different types."
honestly,1,"<t>honestly</t>, everything stefan said after, ""damon is back,"" is kind of a blur.",speaker-oriented,,speaker-oriented,,,"Okay, let's tackle this. The adverb in question is ""honestly,"" and the sentence is ""I've lived my life as honestly as I can."""
honestly,2,you must take it. it has been <t>honestly</t> earned.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""honestly,"" and the sentence is ""Honestly, everything Stefan said after, 'Damon is back,' is kind of a blur."""
humbly,0,"i beg you, i <t>humbly</t> appeal to your courage and... in spite of all... to your common sense.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""honestly,"" and the sentence is ""you must take it. it has been honestly earned."" So, I need to figure out which category ""honestly"" falls into here."
humbly,1,gamblers should live <t>humbly</t> in the shadows of honest people.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""humbly,"" and the sentence is ""I beg you, I humbly appeal to your courage and... in spite of all... to your common sense."""
humbly,2,i shall wait <t>humbly</t> for the goulash at midnight.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""humbly,"" and the sentence is ""gamblers should live humbly in the shadows of honest people."" I need to figure out which category this falls into."
jealously,0,"rodney, please. tell me this isn't just petty <t>jealously</t>.",,n/a,speaker-oriented,?,,"Okay, let's see. The adverb here is ""humbly,"" and the sentence is ""I shall wait humbly for the goulash at midnight."" I need to figure out which category this falls into."
jealously,1,every portal to katrina's heart was <t>jealously</t> guarded by a host of rustic admirers.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""jealously,"" and the sentence is ""rodney, please. tell me this isn't just petty <t>jealously</t>."" Hmm, first, I need to figure out what the adverb is modifying here. The sentence seems to be someone addressing Rodney, asking if something isn't just petty, and the adverb ""jealously"" is inserted there."
jealously,2,"zoe babes, are you <t>jealously</t> suggesting that i'm... resistible?",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""jealously,"" and the sentence is ""every portal to katrina's heart was jealously guarded by a host of rustic admirers."""
kindly,0,i'm afraid history will not look too <t>kindly</t> on your tenure as leadinvestigator.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""jealously,"" and the sentence is ""Zoe babes, are you jealously suggesting that I'm... resistible?"""
kindly,1,"i'm a doer, now friend, <t>kindly</t> step aside, and let this great eagle soar, on the back of that bull.",subject-oriented,,manner,*,,"Okay, let's tackle this. The adverb in question is ""kindly,"" and the sentence is ""I'm afraid history will not look too kindly on your tenure as lead investigator."""
kindly,2,bow your head... and read <t>kindly</t> his epitaph.,subject-oriented,,manner,*,,Answer: adverb.manner
meanly,0,and miss tharp has to support mr. <t>meanly</t>.,,n/a,manner,?,,"Okay, let's tackle this. The adverb in question is ""kindly,"" and the sentence is ""bow your head... and read kindly his epitaph."" First, I need to figure out which category this falls into."
meanly,1,"you meant well, perhaps but my rewards are for unselfish effort, not for things half or <t>meanly</t> done.",subject-oriented,,manner,,*,"Okay, let's try to figure out the label for the adverb ""meanly"" in the given sentence. The sentence is: ""and miss tharp has to support mr. <t>meanly</t>."""
meanly,2,you are treating this poor child <t>meanly</t>,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""meanly,"" and the sentence is: ""you meant well, perhaps but my rewards are for unselfish effort, not for things half or meanly done."""
nobly,0,"susanna has done <t>nobly</t> by you all these years, but she won't give up any part of the load.",subject-oriented,,manner,,*,"Okay, let's see. The adverb here is ""meanly,"" and the sentence is ""you are treating this poor child meanly."" I need to figure out which category this falls into."
nobly,1,"okay, we gotta find the cher<t>nobly</t> to get out of here.",,n/a,,?,,"Okay, let's tackle this. The adverb in question is ""nobly,"" and the sentence is ""Susanna has done nobly by you all these years, but she won't give up any part of the load."""
nobly,2,"come, bring your luggage <t>nobly</t> on your back.",manner,,manner,,,"Okay, let's see. The adverb here is ""nobly."" The sentence is ""Okay, we gotta find the cher<t>nobly</t> to get out of here."" Wait, ""cher"" might be a typo or part of a word? Maybe ""cherry""? Or perhaps ""chert""? Not sure, but maybe it's not important for the classification."
politely,0,"<t>politely</t> ask them to sit, and, uh, be prepared for a physical reaction.",manner,,manner,,,Answer: adverb.manner
politely,1,queuing up <t>politely</t> is what makes us civilized.,manner,,manner,,,Answer: adverb.manner
politely,2,"then wait for further instructions, <t>politely</t> seated, with your hands crossed on your lap.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""politely,"" and the sentence is ""queuing up politely is what makes us civilized."""
reluctantly,0,"portrait of an english gentleman, yielding <t>reluctantly</t> to superior force. oh!",manner,?,manner,,,Answer: adverb.manner
reluctantly,1,"i have been, <t>reluctantly</t>, forced to conclude that cmdr shelby, our expert on the borg, is an ideal choice for first officer.",manner,?,speaker-oriented,,*,"Okay, let's tackle this. The adverb in question is ""reluctantly,"" and the sentence is ""portrait of an english gentleman, yielding reluctantly to superior force. oh!"""
reluctantly,2,let it read that this competency hearing was ordered by commodore stocker and <t>reluctantly</t> called by myself.,manner,,manner,,,⸻
selfishly,0,give up the sword if you want to live <t>selfishly</t>.,manner,,manner,,,Answer: adverb.subject_oriented
selfishly,1,you got there by playing <t>selfishly</t> and losing.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""reluctantly,"" and the sentence is: ""let it read that this competency hearing was ordered by commodore stocker and reluctantly called by myself."""
selfishly,2,"<t>selfishly</t>, i'd love to go, i'd love to experience it, but if we got to go, so would bloated tourists who want to make that a honeymoon.",domain,,speaker-oriented,,*,"Okay, let's tackle this. The adverb in question is ""selfishly,"" and the sentence is ""give up the sword if you want to live selfishly."" Hmm, first, I need to figure out what type of adverb ""selfishly"" is here."
sensibly,0,"that i am guiltless of your father's death, and am most <t>sensibly</t> in grief for it, it shall to you be clear as a day.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""selfishly,"" and the sentence is ""you got there by playing selfishly and losing."""
sensibly,1,"within, walls continue upright, bricks meet... floors are firm, and doors are <t>sensibly</t> shut.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""selfishly,"" and the sentence is: ""Selfishly, I'd love to go, I'd love to experience it, but if we got to go, so would bloated tourists who want to make that a honeymoon."""
sensibly,2,"okay, i am not racing my mom's <t>sensibly</t> priced utility wagon across the australian outback.",degree,manner?,manner,,*,"Okay, let's tackle this. The adverb in question is ""sensibly,"" and the sentence is: ""that I am guiltless of your father's death, and am most sensibly in grief for it, it shall to you be clear as a day."""
willingly,0,meaning no one would <t>willingly</t> leave it behind.,manner,,manner,,,Answer: adverb.manner
willingly,1,"embrace me <t>willingly</t>, and i vow not to spoil that portion of your soul which is the wellspring of your artistry.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""sensibly,"" and the sentence is: ""Okay, I am not racing my mom's sensibly priced utility wagon across the Australian outback."""
willingly,2,"in dressage, the rider should appear effort-free while the horse <t>willingly</t> performs the requested movement.",manner,,manner,,,Answer: adverb.manner
wisely,0,"a woman who... loved not <t>wisely</t>, but too well.",manner,,manner,,,Answer: adverb.manner
wisely,1,the child is so unhappy. she's not being treated <t>wisely</t>.,manner,,manner,,,Answer: adverb.manner
wisely,2,"i'm so sorry, mrs <t>wisely</t>, i'm so sorry...",,n/a,,?,,Answer: adverb.manner
abundantly,0,and let him return to the lord and he will have compassion on him. for he will <t>abundantly</t> pardon.,degree,,degree,,,"Okay, let's tackle this. The adverb in question is ""wisely,"" and the sentence is ""the child is so unhappy. she's not being treated wisely."""
abundantly,1,you've been <t>abundantly</t> clear on the subject.,degree,,degree,,,Answer: adverb.subject_oriented
abundantly,2,"""it shall blossom <t>abundantly</t>, and rejoice even with joy and singing:",degree,,manner,,*,"Okay, let's tackle this. The adverb in question is ""wisely,"" and the sentence is ""I'm so sorry, Mrs. Wisely, I'm so sorry..."" Hmm, first, I need to figure out the context here. The person is apologizing to someone named Mrs. Wisely. The adverb ""wisely"" is used here, but how?"
allegorically,0,"i was talking <t>allegorically</t>, nathan.",manner,,manner,,,Answer: adverb.degree
allegorically,1,"fondle a donkey's cock while felching it, <t>allegorically</t>",speaker-oriented,,,?,*,"Okay, let's tackle this. The adverb in question is ""abundantly,"" and the sentence is ""you've been abundantly clear on the subject."" I need to figure out which category this falls into."
allegorically,2,"the book of revelations may be portrayed <t>allegorically</t>, but the overarching idea of the apocalypse is real.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""abundantly"" in the sentence ""it shall blossom abundantly, and rejoice even with joy and singing."""
amorously,0,"she came to me and she put her hands on my neck in a loving way, and she <t>amorously</t> said, ""philippe, i would like to be the first person",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""amorously,"" and the sentence is ""Gee, it's so glamorously decorated, I thought I was in Vegas."" First, I need to figure out which category this adverb falls into."
amorously,1,"gee, it's so gl<t>amorously</t> decorated, i thought i was in vegas.",,n/a,,?,,"Okay, let's tackle this. The adverb in question is ""amorously,"" and the sentence is ""In a moment like this. people should die gl<t>amorously</t>."" First, I need to figure out which category this adverb falls into."
amorously,2,in a moment like this. people should die gl<t>amorously</t>.,,n/a,,?,,Answer: adverb.manner
authoritatively,0,"i have for some time been compiling exhaustive notes on the peculiarities of spices and herbs in common use, and i have discovered that it can be <t>authoritatively</t> proved that the excessive indulgence in nutmeg leads to hallucination and general debilitation.",manner,,domain,,*,"Okay, let's tackle this. The adverb in question is ""authoritatively,"" and the sentence is: ""she kept a diary and with home-made inks whose strength waxed and waned, wrote authoritatively about everything."""
authoritatively,1,"she kept a diary and with home-made inks whose strength waxed and waned, wrote <t>authoritatively</t> about everything.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""authoritatively,"" and the sentence is ""condemning me before the facts have been authoritatively established!"""
authoritatively,2,condemning me before the facts have been <t>authoritatively</t> established!,manner,,speaker-oriented,,*,Answer: adverb.manner
blankly,0,"we would, like a deaf man, stare <t>blankly</t> as your mouth moves.",manner,,speaker-oriented,?,*,Answer: adverb.manner
blankly,1,you just ejaculate <t>blankly</t> and move on.,manner,,degree,,*,"Okay, let's try to figure out the supersense label for the adverb ""blankly"" in this context. The sentence is a bit fragmented, but from what's given: ""you know after i finish my prepared speech ...i just lot of ... <t>blankly</t> you know - besides this..."""
blankly,2,you know after i finish my prepared speech ...i just lot of ... <t>blankly</t> you know - besides this...,,,,?,,Answer: adverb.manner
confidently,0,but as you would expect... <t>confidently</t>.,,,,?,,Answer: adverb.manner
confidently,1,"i've been recollecting the arrival of a new first officer on board the enterprise, and a manual docking <t>confidently</t> achieved.",subject-oriented,?,,,,"Okay, let's see. The adverb here is ""confidently,"" and the sentence is ""He waits confidently for her."" I need to figure out which category this falls into."
confidently,2,he waits <t>confidently</t> for her.,manner,,manner,speaker-oriented,,Answer: adverb.frequency
constantly,0,"look, you know, aud, we've been together <t>constantly</t> for all these years.",temporal,,frequency,,,Answer: adverb.manner
constantly,1,"leo people are <t>constantly</t> on my neck therefore act in this role. so, please back soon, okay?",temporal,,frequency,,,Answer: adverb.manner
constantly,2,i get that. trying to figure out who you are and what you're gonna do with your life while <t>constantly</t> distracted with hormones.,temporal,,frequency,,,Answer: adverb.temporal
currently,0,"but i'm <t>currently</t> writing a comedy i'm fond of, a comedy i like very much.",temporal,,temporal,,,Answer: adverb.temporal
currently,1,"...fighting for the rights of the basque people and to form an independent nation on this historic territory, <t>currently</t> occupied by the spanish and french states.",temporal,,temporal,,,Answer: adverb.temporal
currently,2,"there's talk of another wave, <t>currently</t> unfounded, though it looks like this one ricocheted down the coast.",temporal,,temporal,,,"Okay, let's tackle this. The adverb in question is ""cynically,"" and the sentence is ""I have proof that a woman was cynically taken in marriage."""
cynically,0,i have proof that a woman was <t>cynically</t> taken in marriage.,manner,,speaker-oriented,,*,"Okay, let's tackle this. The adverb in question is ""cynically,"" and the sentence is: ""but the brave shepherd ruslan shamaev turned up detailing how i tortured him ...how i cynically slaughtered chechen women and children."""
cynically,1,but the brave shepherd ruslan shamaev turned up detailing how i tortured him ...how i <t>cynically</t> slaughtered chechen women and children,manner,,speaker-oriented,,*,Answer: adverb.manner
cynically,2,"the comfortable position of ""auxiliary"", or ""support sector"" for a criminal organization, whose aim is, through turning brazil into a battlefield, the setting-up of a communist regime. when uncovered, it will disclose, <t>cynically</t>, that the church is being persecuted in brazil.",speaker-oriented,,subject-oriented,,*,"Okay, let's tackle this. The adverb in question is ""decently,"" and the sentence is ""I assumed you wanted her decently dressed."""
decently,0,i assumed you wanted her <t>decently</t> dressed.,manner,,manner,,,nan
decently,1,"""a full fair-mindedness requires us also to report that within the gem, on deadwood's main thoroughfare, comely whores, <t>decently</t> priced liquor and the squarest games of chance in the hills remain unabatedly available at all hours,",manner,degree?,manner,degree?speaker oriented,,Answer: adverb.frequency
decently,2,remember your manners. and don't forget to cross your ankles <t>decently</t> when you sit down.,manner,,subject-oriented,,,Answer: adverb.frequency
deucedly,0,pretty girls are <t>deucedly</t> scarce but they do exist.,degree,,degree,,,Answer: adverb.manner
deucedly,1,blast these waves! they're so <t>deucedly</t> erratic!,degree,,degree,,,"Okay, let's tackle this. The adverb in question is ""haphazardly,"" and the sentence is: ""as we went to the gig, they had the fans organised with police patrols on each corner so there weren't fans haphazardly waving along the streets."""
deucedly,2,<t>deucedly</t> fine blades. considering they were made by trolls.,degree,,degree,,,Answer: adverb.manner
differently,0,you'd speak <t>differently</t> if she were here.,manner,,manner,,,"Okay, let's see. The adverb here is ""hoarsely,"" and the sentence is ""today is my last day hoarsely as a--excuse me."" Hmm, first, I need to figure out what the adverb is modifying. The sentence seems a bit fragmented, but the structure is ""last day hoarsely as a..."" Maybe the person is speaking hoarsely, which would be their manner of speaking."
differently,1,that golf ball under your eye suggests <t>differently</t>.,manner,,,?,,"Okay, let's tackle this. The adverb in question is ""hoarsely,"" and the sentence is ""hoarsely car, call gina linetti."" Wait, that sentence doesn't make much sense. Maybe there's a typo or missing words? Let me think. If the sentence is supposed to be something like ""He spoke hoarsely, calling Gina Linetti,"" then ""hoarsely"" would describe the manner in which he spoke. But the original input is a bit unclear. Assuming the intended sentence is something like ""He spoke hoarsely,"" then ""hoarsely"" would be a manner adverb because it describes how the speaking was done. Alternatively, if the sentence is ""Hoarsely, he called Gina Linetti,"" then it might be subject-oriented, but that's less likely. Given the ambiguity, but based on the example where ""stupidly"" was manner, I think ""hoarsely"" here is describing the manner of the action, so adverb.manner."
differently,2,"i do care, but you're just another teacher that doesn't know how to reach me because i learn <t>differently</t>.",manner,,manner,,,</think>
dimly,0,"we are here to make limbo tolerable, to ferry wounded souls across the river of dread until the point where hope is <t>dimly</t> visible.",manner,,degree,,*,Answer: adverb.manner
dimly,1,"bad things happen in darkness, mr. castle. <t>dimly</t> lit tunnels, darkened stairwells.",manner,,degree,,*,Answer: adverb.manner
dimly,2,<t>dimly</t>'s body was recovered 2 weeks ago by two bargemen. he'll be tried,,n/a,,?,,Answer: adverb.manner
disastrously,0,"all ending <t>disastrously</t>, killing both mother and child.",manner,,degree,,,"Okay, let's tackle this. The adverb in question is ""hurriedly,"" and the sentence is: ""When I was going through the Daniels file, I realized one of the papers had been hurriedly removed."""
disastrously,1,or so it would have been if certain modern theories concerning the shape of the world had not proved to be <t>disastrously</t> wrong.,degree,manner?,degree,,,"Okay, let's see. The adverb here is ""intimately"" in the sentence ""I know her intimately."" I need to figure out which category it fits into."
disastrously,2,it wasn't a date so much as a <t>disastrously</t> uncomfortable sexual experience.,degree,,degree,,,Answer: adverb.manner
easily,0,and for those who've yet to experience the sublime benevolence of jasmine this will <t>easily</t> be the most momentous day in recorded history.,,?,speaker-oriented,,*,"Okay, let's tackle this. The adverb in question is ""intimately,"" and the sentence is ""flirts and behaves intimately with them."" I need to figure out which category this falls into."
easily,1,"we'll build a new, light house so that everyone in it can breathe <t>easily</t>.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""logically,"" and the sentence is ""Logically, there's nothing wrong with you."" First, I need to figure out which category this adverb falls into."
easily,2,don't allow her to turn you <t>easily</t>.,,?,speaker-oriented,,manner,"Okay, let's try to figure out the supersense label for the adverb ""logically"" in the given sentence: ""I'm saying, logically-- or even negative files,""."
emotionally,0,"i invested <t>emotionally</t>,and i lost millions.",manner,,speaker-oriented,,*,Answer: adverb.manner
emotionally,1,latin lover narrator: you know where you don't want to go after you've spent an <t>emotionally</t>,,,,?,,"Okay, let's see. The adverb here is ""magnanimously,"" and the sentence is ""I think you're behaving very magnanimously this time."" So, I need to figure out which category this falls into."
emotionally,2,"a lot of us women eat <t>emotionally</t>, liz. and while we're not always in control of our feelings we do control of the decisions we make.",manner,,speaker-oriented,,,"Okay, let's tackle this. The adverb in question is ""magnanimously,"" and the sentence is: ""you yang boys are each worse than the last. the first five died for me magnanimously."""
enthusiastically,0,that the generous warmth of the sentiments... expressed by mr. beenstock... and so <t>enthusiastically</t> seconded -,,speaker?,,?,,"Okay, let's tackle this. The adverb in question is ""magnanimously,"" and the sentence is: ""I think he's gonna have an ulcer, but the good news is he'll never disappoint you again, so you can go and magnanimously hire him back now."""
enthusiastically,1,the news of the people's liberation army's march into tibet... was <t>enthusiastically</t> supported... by all sections of the population.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""maniacally,"" and the sentence is ""this is what i'm supposed to play <t>maniacally</t> down in the catacombs?"""
enthusiastically,2,landed a little too <t>enthusiastically</t> and tore my achilles.,manner,,speaker-oriented,,,"Okay, let's tackle this. The adverb in question is ""maniacally,"" and the sentence is ""her maniacally detailed, pseudo-fascist threshold plan."" Hmm, first, I need to figure out what type of adverb ""maniacally"" is here."
entirely,0,soon the man and the woman they will sleep <t>entirely</t> without the bonds of money.,degree,temporal?,degree,?,,"Okay, let's see. The adverb here is ""maniacally,"" and the usage is in the context of someone laughing maniacally. The sentence is ""-ugh! -[beeps] [all screaming] [laughing <t>maniacally</t>]."""
entirely,1,"in an <t>entirely</t> spiritual way, of course.",degree,,degree,?,,Answer: adverb.degree
entirely,2,"but the fish seemed to have eaten several of the victim's internal organs <t>entirely</t>, while others were left intact.",degree,,degree,,,"Okay, let's see. The adverb here is ""mostly."" The sentence is ""they're mostly about either the girl or the guy got away."" Hmm, I need to figure out what type of adverb ""mostly"" is in this context."
