adverb,type,sentence,correct,
approximately,adverb.degree,Approximately how many lives do you think she has time to destroy in one day?,yes,
aptly,adverb.speaker_oriented,"An auction, is not aptly called then...",yes,
architecturally,adverb.domain,"Architecturally speaking,I get that, but this-this... this is big.",yes,
arrogantly,adverb.subject_oriented,"Arrogantly thinking that perhaps I'd given enough... over these past nine years to merit, if not your love, then at least your respect.",yes,
articulately,adverb.manner,The scholar articulated his theory articulately during the lecture.,yes,
artificially,adverb.manner,"I'd wanna let the movie exist, rather than be... -...artificially plot-driven.",yes,?
artistically,adverb.domain,I feel a complete failure artistically.,yes,
astonishingly,adverb.speaker_oriented,"Astonishingly, your app... received ten times more downloads than any other team's.",yes,
astronomically,adverb.degree,"In the past 10 years, the pace of communication and commerce accelerated astronomically, didn't it?",yes,
astutely,adverb.subject_oriented,"And as you so astutely pointed out, he left the marks to prove it.",yes,
automatically,adverb.manner,The student recited the formula automatically without thinking.,yes,
badly,adverb.degree,"Badly, and they wanted to incentivize you to join the program.",yes,
barely,adverb.degree,Barely out of his teens.,yes,
basically,adverb.speaker_oriented,"Basically, you're your own boss.",yes,
beastly,adverb.degree,Beastly impudent bad manners - that what it tis! I have a message to deliver from Mrs. Errol.,yes,
beastly,adverb.speaker_oriented,"Just come down? - Yes. Beastly place, your part of the country, I think.",yes,
belatedly,adverb.temporal,"Dear Anička, forgive me for writing to you so belatedly.",yes,
believably,adverb.manner,The actor delivered his lines believably during the emotional scene.,yes,
besides,adverb.contrast,"I don’t feel like going out; besides, it’s too late.",yes,
biosynthetically,adverb.domain,Biosynthetically it's two steps from tryptophan. Right.,yes,
bitterly,adverb.degree,"But once the sun sets, every night becomes as bitterly cold as winter.",yes,
blessedly,adverb.speaker_oriented,"God rot it, and, blessedly, keep it,",yes,
bluntly,adverb.manner,"Bluntly put, you all have a sickness that makes your head blow up when you get upset.",yes,
bravely,adverb.manner,She fought bravely despite the odds.,yes,
bravely,adverb.subject_oriented,"Bravely, he admitted his mistake.",yes,
bravely,adverb.degree,The attempt was bravely naive.,yes,
brilliantly,adverb.degree,"Before announcing the winner of this year's competition, I'd like to compliment all of our brilliantly talented young finalists.",yes,
broadly,adverb.manner,The report broadly covers the economic trends of the past decade.,yes,
brutally,adverb.degree,"Brutally satisfying, I have to say.",yes,
carelessly,adverb.manner,"He packed his bag carelessly, leaving his keys behind.",yes,
carelessly,adverb.subject_oriented,"Carelessly, she left the door unlocked.",yes,
carelessly,adverb.manner,It was carelessly put together.,yes,
cautiously,adverb.manner,"""Cautiously optimistic"" is the report.",yes,
ceaselessly,adverb.temporal,Ceaselessly we must recite... The same old words,yes,
centrally,adverb.spatial,But all the robots here are controlled centrally and are specialised.,yes,
certainly,adverb.speaker_oriented,"Certainly slavery was a cause for the Civil War, but not the primary cause.",yes,
characteristically,adverb.domain,The Aesthete Gives Characteristically Cynical Evidence... Replete with Pointed Epigram and Startling Paradox... while Explaining His Views on Morality in Art.,yes,
chemically,adverb.domain,"Chemically, their lack of hormonal change makes detection impossible.",yes,
childishly,adverb.manner,She stormed out childishly after losing the debate.,yes,
chronically,adverb.frequency,Do not listen to Mr. Chronically-single- always-dating-some-new- hot-chick guy!,yes,
circumstantially,adverb.speaker_oriented,"Circumstantially, it looks like the Secret Services paid him off for doing work for them.",yes,
civilly,adverb.manner,They're still weighing whether to proceed against you civilly.,yes,
classically,adverb.domain,"I don't know if I'd call him ""classically handsome.""",yes,
cleverly,adverb.subject_oriented,"Cleverly, he deactivates the weapons system, and the crowd goes wild.",yes,
cleverly,adverb.manner,"""She cleverly solved the riddle.""",yes,
cleverly,adverb.subject_oriented,"""Cleverly, the fox managed to escape the trap.""",yes,
cleverly,adverb.manner,He solved the puzzle cleverly.,yes,
cleverly,adverb.subject_oriented,"Cleverly, she avoided answering the question directly.",yes,
cleverly,adverb.manner,The design was cleverly minimalist.,yes,
clinically,adverb.domain,"Clinically speaking, he looks like a psycho.",yes,
closely,adverb.degree,The kids in my district will live longer if their fortunes are tied more closely to the fortunes of the kids in Josh Lyman's district.,yes,
closely,adverb.spatial,Be sure to press it in and pull it closely enough to you so you can be heard.,yes,
cloyingly,adverb.degree,That is the most cloyingly sentimental remark I have every heard. I have every heard.,yes,
coincidently,adverb.speaker_oriented,"Coincidently, all the gold ones, right, chap?",yes,
cold-bloodedly,adverb.subject_oriented,"Flashing your iron compasses, Cold-bloodedly you close the circle, Paying no attention to useless pleas.",yes,
collectedly,adverb.manner,"Despite the grief, she spoke collectedly about the tragic news.",yes,
collectively,adverb.domain,"Collectively, it's even easier to beat your father.",yes,
colloquially,adverb.domain,"Colloquially it is known as the ""patience grenade.""",yes,
commercially,adverb.domain,"""LIMITE"" was never released commercially.",yes,
comparatively,adverb.speaker_oriented,"Comparatively, my own marriage was a much more pragmatic and routine one.",yes,
competitively,adverb.domain,"Competitively, I meant, we've lost him.",yes,
completely,adverb.degree,imagine your entire audience is completely naked.,yes,
composedly,adverb.manner,"The witness testified composedly, even under harsh questioning.",yes,
conceitedly,adverb.manner,The influencer spoke conceitedly about his minor accomplishments.,yes,
conceptually,adverb.domain,"Conceptually, it's enclosing, it's familial, it's feminine.",yes,
confidentially,adverb.speaker_oriented,"Confidentially, darling, this is more than a hangover.",yes,
confoundedly,adverb.degree,"You're a confoundedly attractive woman, or hadn't you noticed?",yes,
consequently,adverb.speaker_oriented,"Consequently, this contains the first page... of every holy book of every race that has joined the New Alliance.",yes,
conservatively,adverb.manner,"Conservatively, let's say 10 million deaths in a year.",yes,
considerately,adverb.subject_oriented,"Well, I didn't want to disturb you, and Hogan very considerately asked me out.",yes,
consistently,adverb.frequency,the judges consistently takes justin taylor's breath away.,yes,
conspicuously,adverb.degree,"He said the house was, ""conspicuously meticulous.""",yes,
constantly,adverb.frequency,"Which I do, -constantly- in my living room, with the shades closed just in case somebody is watching.",yes,
constitutionally,adverb.domain,"Constitutionally, gentlemen, you have The President,",yes,
contemporaneously,adverb.temporal,And the discovery of LSD and its potent effects on the human psyche occurred almost contemporaneously with the discovery of serotonin as a molecule in the brain.,yes,
continually,adverb.frequency,"Continually followed by, like, FBI and fucking CIA, and 50 journalists.",yes,
continuously,adverb.temporal,"Continuously getting legit refills isn't realistic, and neither is being a junkie.",yes,
contradictorily,adverb.manner,Their statements sounded contradictorily inconsistent with the evidence.,yes,
conveniently,adverb.manner,Conveniently located for all your lunchtime spanking needs.,yes,
conveniently,adverb.speaker_oriented,"Conveniently, my mom sells sex toys out of the trunk of her car.",yes,
conventionally,adverb.domain,"so what if we're not ""conventionally handsome""?",yes,
conversely,adverb.contrast,"Conversely, reality, co-opted by fiction, loses its value",yes,
convincingly,adverb.manner,The lawyer presented the case convincingly before the jury.,yes,
cosmetically,adverb.domain,"Cosmetically, there are testicular implants available.",yes,
courageously,adverb.subject_oriented,"Courageously, this man had agreed to testify in two weeks time in that case.",yes,
crazily,adverb.degree,"I'll explain ""crazily competitive"" to zack over and over again until he gets it.",yes,
creatively,adverb.domain,"Creatively, I think it helped him because he wrote some songs about that.",yes,
credibly,adverb.degree,"treams of blood and song galore... I've been very, very lucky - lncredibly lucky.",yes,
criminally,adverb.degree,That's a criminally expensive Santangelo bowl.,yes,
critically,adverb.degree,in the arms of her critically wounded husband another sacrifice to the rising tide of street violence,yes,
critically,adverb.domain,"When the picture opened, it was a huge hit... ... both critically and with the audience.",yes,
critically,adverb.speaker_oriented,"Critically, at the heart of this project is a huge attitude change by these Maasai warriors.",yes,
crucially,adverb.speaker_oriented,"That's right. Crucially, this Starbucks is different than the others.",yes,
crushingly,adverb.degree,"Those soul-crushingly dull civil service meetings, that made suicide look like an exciting career option.",yes,
culturally,adverb.domain,"Culturally, Madonna's legacy transcends her music, because by and large, the subtext of her songs are about being strong, independent and-and confident, no matter what your sex.",yes,
curiously,adverb.speaker_oriented,"Curiously, this case and other similar ones, which show us Mastropiero plagiarizing Günther Frager has reached us through Mastropieros own autobiography.",yes,
currently,adverb.temporal,"And has destroyed over 100 homes. Currently there is 0% containment of this fire. However, firefighters are hopeful",yes,
currishly,adverb.manner,The man spoke currishly about those who had helped him most.,yes,
customarily,adverb.domain,"Customarily, the uh, woman moves in with the man, but Henry's already got his nursery set up, and the beach is a draw, so I guess it'll be your place.",yes,
daily,adverb.frequency,Do you come here daily?,yes,
daringly,adverb.subject_oriented,"Daringly, the fugitive's bride-to-be convinces the town that he's not guilty... by forging a telegram from a U.S. Marshal.",yes,
dazzlingly,adverb.degree,"Let us consider him in his flight, outstanding and dazzlingly sulphurous.",yes,
deadly,adverb.degree,"Deadly, military uses like... radar, anti-radar or missile applications.",yes,
deathly,adverb.degree,You won't look good being deposed by a deathly ill man.,yes,
decently,adverb.degree,It turned out it was hard to get a job that paid even halfway decently.,yes,
deceptively,adverb.degree,"you know, grandma is deceptively quick.",yes,
decidedly,adverb.speaker_oriented,"Decidedly, Mr. Poulakis, you are our savior.",yes,
deeply,adverb.degree,"Deeply disturbed, armed, cranky lunatics on drugs.",yes,
defensively,adverb.domain,"Defensively, we can hold them to two or three touchdowns.",yes,
deferentially,adverb.manner,The intern bowed deferentially when addressing the board members.,yes,
delicately,adverb.manner,"Mr. Emmett Fitz-Hume, chief state department negotiator here at the disarmament talks, re-entering what he has called the ""delicately balanced negotiations. """,yes,
deliciously,adverb.degree,So am I. Deliciously scared. Mrs. Hammond said she once felt the ghost of a murdered child creep up behind her... and lay its icy fingers on her hand.,,?
deliriously,adverb.degree,"All those admonitions about being ""Deliriously happy,"" ""that there is no sense living your life without.""",yes,
demandingly,adverb.manner,The course grew demandingly complex with each new module.,yes,
demographically,adverb.domain,"* policy-wise, demographically speaking *",yes,
densely,adverb.degree,"The post-op analysis said the tumour was similar to ordinary brain tissue, but that the neurons were five times more densely packed.",yes,
deservedly,adverb.speaker_oriented,"But I also wouldn't be where I am today without his guidance. He'll be remembered as a pillar of Nashville society, and deservedly so.",,?
desperately,adverb.degree,"Desperately wants to succeed in a man's world, so she's always the most prepared person in the room.",yes,
despicably,adverb.manner,Their leader behaved despicably toward those who trusted him.,yes,
destructively,adverb.degree,a destructively numerous influx or multiplication of a noxious animal.,yes,
deucedly,adverb.degree,Deucedly fine blades. Considering they were made by trolls.,yes,
devilishly,adverb.degree,Devilishly difficult. No one's ever finished it.,yes,
diagonally,adverb.spatial,"Diagonally across the room, there's a blind arch.",yes,
diplomatically,adverb.manner,The spokesperson replied diplomatically to avoid controversy.,yes,
directly,adverb.spatial,Do you know where Robert Kraft is going? Directly into the Hall of Fame.,yes,
directly,adverb.temporal,- Directly after. - When?,yes,
disappointingly,adverb.speaker_oriented,"- Disappointingly, the new administration at Anchor Beach wants me to teach you how to take tests, not how to think.",yes,
disgustingly,adverb.degree,"Disgustingly rich, and she puts on a musical show here every season. A benefit for the milk fund.",yes,
dishonestly,adverb.manner,The lawyer handled the case dishonestly to protect his partner.,yes,
dishonorably,adverb.manner,"The soldier left the battlefield dishonorably, abandoning his comrades.",yes,
distally,adverb.spatial,You need to apply a suture proximally and distally.,yes,
distantly,adverb.spatial,"The camping is distantly located, not convinient.",yes,
distinctively,adverb.degree,Homecoming is a distinctively American tradition.,yes,
distinctly,adverb.degree,Didn't you see her bum? Distinctly strange.,yes,
disturbingly,adverb.degree,"The Harvard Crimson described my performance as ""disturbingly accurate.""",yes,
domestically,adverb.spatial,Stock markets rose both domestically and abroad... after the announcement of stronger than expected earnings...,yes,
doubly,adverb.degree,"Doubly so in your case, thanks to the recent search warrant of your mother's.",,
doubtlessly,adverb.speaker_oriented,Doubtlessly making sure that his goods arrive in Istanbul undamaged.,,
dramatically,adverb.speaker_oriented,"Dramatically, this is much better.",yes,
drastically,adverb.degree,"I might throw in something... ... about drastically reducing sugar subsidies, though.",yes,
dynamically,adverb.domain,"36-year-old male, Omar Singh, unrestrained passenger, dynamically unstable,",yes,
early,adverb.temporal,-Who's that sexy phone voice? Calling me this early?,yes,
easily,adverb.degree,Easily worth at least a million dollars.,yes,
easterly,adverb.spatial,I can tell you that she was moving in a easterly direction.,yes,
economically,adverb.domain,"Each of the victims, socio-economically, is lower to middle class.",yes,
effectively,adverb.domain,"Effectively an acquittal, but one which suggests a suspicion of guilt...",,
effectively,adverb.speaker_oriented,"Effectively, what my project deals with is Halley's Comet, and tracking Halley's Comet for the duration it'll be here.",yes,
eminently,adverb.degree,"Mrs. Lovett, what a charming notion Eminently practical",,
empirically,adverb.domain,"Empirically, that is. I can assure you, Abigail's intelligence is not wrong.",yes,
enormously,adverb.degree,This statue enormously sized for my room.,yes,
enthusiastically,adverb.degree,I enthusiastically recommend her.,yes,
entirely,adverb.degree,"if my lips can teach the public that men are made mad by bad treatment, then my life will not be entirely thrown away.",yes,
equally,adverb.degree,then my life will not be entirely thrown away.,yes,
erroneously,adverb.manner,"It's what most people erroneously call the ""stomach flu.""",yes,
essentially,adverb.speaker_oriented,"Essentially, they were black girls.",,
esthetically,adverb.domain,Danny finds Leo esthetically threatening.,yes,
eternally,adverb.temporal,"In the unholy year of the Lords 1291, this place was damned Eternally damned as people were condemned to infernal pain The judge... no, judgement of Master Berengenario",,
ethically,adverb.domain,"Ethically, I can't reveal my source.",yes,
ethnically,adverb.domain,"- Ethnically, I'd want a mix...",yes,
euphemistically,adverb.speaker_oriented,"Or operative, as we euphemistically call it.",,
even,adverb.focus,I can’t believe he even remembered my birthday this year.,yes,
evenly,adverb.degree,"in fact, I'd say he and justin are pretty evenly matched.",yes,
eventually,adverb.temporal,"Every time our bodies produce cells, they wear down. Eventually, so do we.",yes,
evidently,adverb.speaker_oriented,"Evidently, I'm recommending it to Vogue shoppers.",,
exactly,adverb.degree,Nicky gave the bank teller a note asking for exactly $933.,yes,
exactly,adverb.speaker_oriented,"Exactly, that's why I'm just, like, we're having lunch in broad daylight.",yes,
exceedingly,adverb.degree,"Peter and Paul, and to all the Saints, and to you, Father, that I have sinned exceedingly in thought, word, deed, and omission...",yes,
exceptionally,adverb.degree,I tasted almonds in my coffee. Real bitter. Exceptionally bitter.,yes,
exceptionally,adverb.speaker_oriented,"Exceptionally, we'll walk to your office.",yes,
excessively,adverb.degree,"Excessively passionate, sometimes too passionate... and often too meek... timid and brave.",yes,
excitingly,adverb.degree,We could make you excitingly famous.,yes,
exclusively,adverb.manner,"""Exclusively obtained an image of the knife suspected to be the murder weapon""",yes,
excruciatingly,adverb.degree,It's deliberate. Excruciatingly painful process.,yes,
exponentially,adverb.degree,The higher numbers represent. Exponentially higher intensities.,yes,
exquisitely,adverb.degree,"""The feelings you have aroused within me"" ""are at once delightful and...exquisitely...painful.""",yes,
extensively,adverb.degree,"Dr. Dwayne Sotter, an academic who's written extensively about immigration policy;",yes,
externally,adverb.spatial,Animals in which the female's eggs are fertilised externally.,yes,
extravagantly,adverb.manner,"As the captain's wife, it wouldn't be proper to dress too extravagantly.",yes,
extremely,adverb.degree,"Penzarella. No, no, no. Extremely pro-development and loves the idea of this project.",yes,
fabulously,adverb.degree,The wine we drank from a magic glass in the magic tavern was fabulously excellent!,yes,
facially,adverb.spatial,"I'm Captain Bill Birdell and... well, my facially wounded friend here is Captain Tom Stratton.",yes,
faintly,adverb.degree,Am I crazy or do these cards smell faintly like urine?,yes,
fairly,adverb.degree,"[ ♪ ] somehow or other, in america, spelling, although it's a fairly mechanical process,",yes,
famously,adverb.degree,It's the young Marquis de Saint-Loup-en-Braye. Famously elegant!,yes,
fantastically,adverb.degree,"that, pinky, is a fantastically powerful doll.",yes,
fatally,adverb.degree,"Fatally so, if you're allergic to it. You know the use of the term "" nontoxic""",,
fearlessly,adverb.subject_oriented,"""Fearlessly heroic and bold dare-devil that he is"" ""Lieutenant Kurokawa approached the enemy alone to defeat them.""",,
feasibly,adverb.degree,Have an unfeasibly large cock.,yes,
federally,adverb.domain,"Federally funded lab, government-owned property...",yes,
ferociously,adverb.degree,"The railway station poet sent me to see a certain Mr. Puiutz, alias Pepe, a man he described as ""ferociously clever"".",yes,
fervently,adverb.degree,"hooligans, thugs, fervently idealistic students, swarming adolescents, just the kind of thing you see around Obama.",yes,
fiendishly,adverb.degree,He can explain. Fiendishly clever.,,
fiercely,adverb.degree,It's a fiercely male-dominated environment. You take on the men. You battle your way up and become... a manager.,yes,
figuratively,adverb.speaker_oriented,"Then, when cousin and I beat those Fitzpatricks to a bloody pulp (figuratively speaking, of course), it'll all be in the family.",,
finally,adverb.speaker_oriented,"Finally, every agent gets a night vision scope... hidden in their watch.",yes,
financially,adverb.domain,"True, but Kia is a very successful woman youaredependentonherfinancially...",,
firmly,adverb.speaker_oriented,"we at exxon firmly believe that a free market will, if left to its own devices, always finds solutions to the dilemmas",,
firstly,adverb.speaker_oriented,"Firstly, 76% of all murder victims know their assailant.",yes,
fiscally,adverb.domain,"Do you recall rejecting a small business loan... for a zip line snack transportation system... calling it... and I quote... ""fiscally irresponsible""?",yes,
fittingly,adverb.speaker_oriented,"and tonight, as her editor, I am thrilled to announce that marin's third book has been optioned, called--fittingly--",,
flippantly,adverb.manner,The celebrity dismissed the allegations flippantly at the press event.,yes,
foolishly,adverb.subject_oriented,"Foolishly, we thought our allies would protect us, but on the day of battle, the other prides abandoned us.",yes,
foolishly,adverb.manner,"""He grinned foolishly after making the mistake.""",yes,
foolishly,adverb.subject_oriented,"""Foolishly, she spent her entire paycheck on lottery tickets.""",yes,
foolishly,adverb.degree,"""The plan was foolishly optimistic.""",yes,
foolishly,adverb.manner,"He answered the riddle foolishly, without thinking it through.",yes,
foolishly,adverb.subject_oriented,"Foolishly, she ignored all the warnings.",yes,
foolishly,adverb.degree,The plan was foolishly ambitious for such a small team.,yes,
foolishly,adverb.manner,He behaved foolishly in front of the guests.,yes,
foolishly,adverb.subject_oriented,"Foolishly, he trusted the wrong person.",yes,
foolishly,adverb.degree,That was foolishly expensive for a beginner.,yes,
foolishly,adverb.manner,She reacted foolishly to the rumor.,yes,
foolishly,adverb.degree,He was foolishly confident in his guess.,yes,
formally,adverb.domain,"Formally, it is the same session, so you may yet exercise your veto on the motion.",yes,
formerly,adverb.temporal,"Formerly known as the Spice Islands, indicating they smell very good.",yes,
fortuitously,adverb.speaker_oriented,"Fortuitously, this individual is due to be visiting your establishment, fancies girls that remind him of his...",,
fortunately,adverb.speaker_oriented,"Fortunately, our case against Stephen Orlac doesn't depend on fingerprints.",yes,
frankly,adverb.speaker_oriented,"Frankly, myself. My style is original, personal",yes,
freakishly,adverb.degree,"So Let Me Give You Fair Warning, My Freakishly Tall Girlfriend,",,
frequently,adverb.frequency,the waldensians were frequently employed in hand-copying the scriptures.,yes,
freshly,adverb.temporal,The victim had a freshly-lit cigarette.,yes,
frighteningly,adverb.degree,"What do you mean, ""frighteningly lonely""?",,
fully,adverb.degree,"Fully researched and everything, huh?",yes,
functionally,adverb.domain,"Functionally, I'm just like you.",,
funnily,adverb.speaker_oriented,"Funnily enough, that remains the number-one motive for murder.",,
generally,adverb.speaker_oriented,"Generally, you will not allow this man ...",,
generically,adverb.domain,"It's a righteous, generically American film movement that went from 1945 to 1958 and exposited one great theme.",yes,
generously,adverb.degree,A house in Bel Air with a generously sized swimming pool.,yes,
generously,adverb.manner,"""He poured the wine generously.""",yes,
generously,adverb.subject_oriented,"""Generously, the CEO gave everyone a day off.""",yes,
generously,adverb.degree,"""The apartment was generously proportioned.""",yes,
generously,adverb.manner,He donated generously to the cause.,yes,
generously,adverb.subject_oriented,"Generously, she forgave his debt.",yes,
generously,adverb.degree,The space was generously large for a studio.,yes,
gladly,adverb.speaker_oriented,"Gladly! Basile, give him water as they wish.",,
glaringly,adverb.degree,There were glaringly obvious markers of human intervention in the code.,yes,
globally,adverb.spatial,"Globally 200,000 people a day are moving from environments that have sustained them for generations, into cities, many to live in slums, looking for work, no matter how toxic that work may be.",yes,
gloriously,adverb.degree,"And run to these camas, and dahlias, so colorful, it hurts your eyes and these gloriously purple salvias that go on flowering until the frost claims them.",,
graciously,adverb.subject_oriented,guess which fortune 500 company so graciously came in and purchased the land after it had been pummeled,,
grammatically,adverb.domain,"Grammatically correct in the depths of despair, I'm impressed.",yes,
gravely,adverb.speaker_oriented,"Gravely: So, sampson never forgets And sees an opportunity for revenge",,
greatly,adverb.degree,king sigismund was greatly angered at the imprisonment of huss and he threatened the church council,yes,
greedily,adverb.subject_oriented,Greedily I retained his gold,yes,
greenly,adverb.speaker_oriented,"Okay, Mrs. Greenly, it's time to wake up. Okay, Nancy?",,
grievously,adverb.degree,"If it were so, it was a grievous fault, and grievously has Caesar paid for it.",,
grossly,adverb.degree,Grossly-abnormal high-altitude electrostatic disturbance - moving down over Connecticut.,,
grotesquely,adverb.degree,"""The testing we witnessed is more cruel, more grotesquely evil than the American people could ever imagine. """,,
habitually,adverb.frequency,Do you eat? - Habitually.,yes,
handsomely,adverb.degree,The decision paid handsomely when the film became a hit and she was nominated a third time for a Best Actress Academy Award.,,
handsomely,adverb.speaker_oriented,- Handsomely? . Who sent you?,,
haply,adverb.speaker_oriented,"Haply your eye shall light upon some toy You have desire to purchase and your store, I think, is not for idle markets, sir.",,
happily,adverb.speaker_oriented,"Happily, Clarkson soon got a bit of payback.'",,
hardly,adverb.degree,..hardly qualifies him to raise a seven-year-old!,,
healthily,adverb.degree,"I'd like to know when you plan on telling Duncan and everyone how I'm psycho or, at least, unhealthily obsessed.",,
heavily,adverb.degree,Your life is heavily influenced by women.,,
hellishly,adverb.degree,I am just as bent as ever. Hellishly so.,,
helplessly,adverb.degree,"¶ ¶ I've tried to quit, but I'm helplessly addicted to nicotine.",yes,
helplessly,adverb.subject_oriented,"Helplessly, he had to watch as his village Flake got raid.",,
heroically,adverb.manner,The medic fought heroically to save lives on the battlefield.,yes,
high-handedly,adverb.manner,"The director ruled high-handedly, ignoring every suggestion.",yes,
highly,adverb.degree,"Oh, yeah? Highly distinguished Navy Seal, heading your own criminal task force.",,
hilariously,adverb.speaker_oriented,"Hilariously enough, she gets to stay.",,
hinderingly,adverb.manner,"Bureaucratic rules operated hinderingly, delaying every stage of approval.",yes,
historically,adverb.domain,"Historically, gargoyles were used to ward off evil spirits.",yes,
honestly,adverb.manner,"he can't get it honestly, he is willing to steal it",yes,
honestly,adverb.speaker_oriented,"Honestly, same bottle, Liquor Shack, 700K.",yes,
honorably,adverb.manner,The captain resigned honorably after admitting his mistake.,yes,
hopelessly,adverb.degree,"Hopelessly in the dark, reliant on second-hand, inadequate and irrelevant information from foreign sources not working in the interests of this country.",,
horizontally,adverb.spatial,"at first it seemed like the folded dipole wasn't working as your center-fed horizontally mounted conductor,",yes,
horribly,adverb.degree,"i know. i know this seems like an episode of father knows best gone horribly wrong,",yes,
horribly,adverb.speaker_oriented,[volume increasing] horribly. 3 bodies were found dead in what is believed to be A drug deal gone awry.,yes,
horrifyingly,adverb.degree,"As the fortieth hour since their takeoff from Paris approached, it became horrifyingly certain that somewhere out over the North Atlantic a tragedy was being enacted.",,
hotly,adverb.degree,(doorbell rings) Like I'm gonna share my best closet idea with a room full of strangers four days before the most hotly anticipated storage convention in North America.,,
hourly,adverb.frequency,"Hourly struggle. I mean, temptation is everywhere.",yes,
hourly,adverb.temporal,"Hourly rate is 1,120 yen times 100?",,?
however,adverb.contrast,"I wanted to go for a walk; however, it started raining.",yes,
hugely,adverb.degree,"- Okay, well, this was a dumb... Hugely dumb waste of time, Peter.",yes,
humbly,adverb.manner,"I'm Jack Lime, your guide for this journey of events we humbly call 24-hour news.",yes,
humiliatingly,adverb.degree,Please.My social calendar is humiliatingly empty.,yes,
hungrily,adverb.speaker_oriented,"Ay, caramba.! ""Hungrily yours, Edna. """,,
hypocritically,adverb.manner,The preacher condemned greed hypocritically while living lavishly.,yes,
hypothetically,adverb.domain,"- Look, kid, Hypothetically speaking, Let's say i talk and lullo gets locked up.",yes,
hysterically,adverb.degree,"""hysterically funny but not funny-looking guy who you could fuck"" did you not understand?",yes,
ideally,adverb.speaker_oriented,"Ideally situated, you might say, for both your needs as scientists and, um well, fugitives.",,
idiotically,adverb.subject_oriented,"Idiotically, I went with them.",yes,
immediately,adverb.temporal,"This morning the stock market again was reported to break china, that shares Vladis Enterprises"", in the evening yesterday day fallen to 5 %,... today immediately after the opening fell another 7%.",yes,
immensely,adverb.degree,You are so beautiful. Immensely beautiful.,yes,
imminently,adverb.temporal,"Imminently, as I understand it.",yes,
impatiently,adverb.manner,She tapped her foot impatiently while waiting for the results.,yes,
implacably,adverb.degree,Or are you implacably opposed to giving anyone a free choice?,yes,
importantly,adverb.speaker_oriented,"but I have worked very hard to create a life for myself, and most importantly, sam.",,
impressively,adverb.speaker_oriented,"Impressively. You've learned to take control, to anticipate.",,
